gig_title,gig_url,rating_raw,seller_level_raw,price_raw,rating,review_count,price_pkr,seller_level,title_clean,title_word_count,seller_username,listing_position,log_price_pkr,log_review_count,cluster,niche_name,predicted_review
"I will do excel formulas, vba macros, charts, forms, addins",https://www.fiverr.com/maltehar/do-excel-formulas-vba-macros-charts-forms-addins?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=1&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=d02bf246-0e15-429a-92f0-9c07f09b9272,5.0(56),Level 2 Seller,"PKR 8,701",5.0,56.0,8701,Level 2 Seller,i will do excel formulas vba macros charts forms addins,10,maltehar,1,9.071308163280625,4.04305126783455,10,excel / vba / macros,124.92875545491471
"I will do data mining, web scraping, data extraction,excel CSV job",https://www.fiverr.com/hotopilams/do-data-mining-data-extraction-or-web-scraping?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=2&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=6cc3edf4-b867-4398-813c-c68b33898030,5.0(1k+),Top Rated Seller,"PKR 3,263",5.0,1000.0,3263,Top Rated Seller,i will do data mining web scraping data extraction excel csv job,12,hotopilams,2,8.090708716083997,6.90875477931522,3,scraping / web / web scraping,685.1778480706103
"I will do web scraping , data scraping, scraping emails, website scraping",https://www.fiverr.com/kodweb/do-web-scraping-data-mining-web-crawler-and-bots?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=3&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&fiverr_choice=true&imp_id=e9cd8491-6c7a-4884-9094-f564218d8a62,5.0(63),Level 2 Seller,"PKR 2,176",5.0,63.0,2176,Level 2 Seller,i will do web scraping data scraping scraping emails website scraping,11,kodweb,3,7.685703061234547,4.158883083359672,3,scraping / web / web scraping,81.30004898029448
"I will do python web scraping , data entry , and data extraction",https://www.fiverr.com/asad__haadi/do-web-scraping-virtual-assistant-for-data-entry-and-web-search-excel-sheets?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=4&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=296062fa-e46f-4754-878a-d16b49f9b866,5.0(266),Level 2 Seller,"PKR 1,088",5.0,266.0,1088,Level 2 Seller,i will do python web scraping data entry and data extraction,11,asad__haadi,4,6.9930151229329605,5.58724865840025,3,scraping / web / web scraping,110.89943030971378
I will data scraping web site scraping and data collection,https://www.fiverr.com/yourbuddy/web-scraping-and-data-mining-for-any-website?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=5&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=6b8c019a-72a4-4535-a010-8ab4b3d4d9ab,4.9(275),Level 2 Seller,"PKR 4,351",4.9,275.0,4351,Level 2 Seller,i will data scraping web site scraping and data collection,10,yourbuddy,5,8.378390788535778,5.62040086571715,3,scraping / web / web scraping,55.27974146322377
"I will do perfect web scraping, data mining for you using python",https://www.fiverr.com/adeel085/do-perfect-web-scraping-for-you?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=6&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=eeff9868-874a-4422-9ce0-bd5d4692254a,5.0(181),Level 2 Seller,"PKR 2,176",5.0,181.0,2176,Level 2 Seller,i will do perfect web scraping data mining for you using python,12,adeel085,6,7.685703061234547,5.204006687076795,3,scraping / web / web scraping,165.32461813861048
I will write web scraper using python for you,https://www.fiverr.com/naumansharif111/write-scale-able-and-unblock-able-web-scrapers-for-you?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=7&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=22210abd-220c-4dce-9eb3-5961168db13d,5.0(211),Top Rated Seller,"PKR 10,876",5.0,211.0,10876,Top Rated Seller,i will write web scraper using python for you,9,naumansharif111,7,9.294405747093853,5.356586274672012,4,python / analysis / using,155.80489525253574
"I will do web scraping, crawling and data mining with python and nodejs",https://www.fiverr.com/prakriteekhanal/do-web-scrapping-crawling-of-text-image-video-pdf-by-python?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=8&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=29bba2a0-5200-4690-bf1a-4e4bed847cfb,5.0(398),Top Rated Seller,"PKR 17,401",5.0,398.0,17401,Top Rated Seller,i will do web scraping crawling and data mining with python and nodejs,13,prakriteekhanal,8,9.76434042112597,5.988961416889864,3,scraping / web / web scraping,349.63551041507424
"I will do website scraping, python scripts automation, web scrapers",https://www.fiverr.com/alifarslan/deploy-python-web-scraping-scripts-web-scrapers-on-server?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=9&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&seller_online=true&imp_id=320f4a63-1ed1-433c-8753-429c6c44fc06,5.0(61),Level 2 Seller,"PKR 4,351",5.0,61.0,4351,Level 2 Seller,i will do website scraping python scripts automation web scrapers,10,alifarslan,9,8.378390788535778,4.127134385045092,3,scraping / web / web scraping,55.28178694466579
I will automate your documents with python scripts,https://www.fiverr.com/rapidtech1898/automate-your-word-documents-with-python-scripts?context_referrer=subcategory_listing&source=category_tree&ref_ctx_id=52098a4e57d9cc0464e26e1582b37da6&pckg_id=1&pos=10&context_type=rating&funnel=52098a4e57d9cc0464e26e1582b37da6&imp_id=bcd39655-b5ec-4341-adbe-ed338686c26a,5.0(16),Clients,"PKR 21,752",5.0,16.0,21752,Unknown,i will automate your documents with python scripts,8,rapidtech1898,10,9.987506958039702,2.833213344056216,4,python / analysis / using,6.156991214746513
